Pais,CodigoISOpaís,Oficinaderegistro,Grupoedad,Edad,areaConocimiento,SubAreaConocimiento,NivelAcademico,Estadocivil,Genero,Etniadelapersona,Estatura ,Localizacion,Cantidaddepersonas
ESTADOS UNIDOS,USA,C. WASHINGTON,ADULTO,50,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",3
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,25,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLÍTICA Y/O RELACIONES INTERNACIONALES,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(56.130366, -106.346771)",2
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO MAYOR,69,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,160,"(37.09024, -95.712891)",2
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO,46,NO INDICA,NO INDICA,POSTGRADO - DOCTORADO,CASADO,MASCULINO,OTRO,170,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO MAYOR,64,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,NINGUNA,162,"(6.42375, -66.58973)",1
MEXICO,MEX,C. MEXICO,ADULTO,41,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,UNION_LIBRE,MASCULINO,OTRO,175,"(23.634501, -102.552784)",1
VENEZUELA,VEN,C. MARACAIBO,DESCONOCIDO,-1,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,-1,"(6.42375, -66.58973)",1
REINO UNIDO,GBR,C. LONDRES,ADULTO,33,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,SOLTERO,FEMENINO,NINGUNA,154,"(55.378051, -3.435973)",1
SUIZA,CHE,C. BERNA,ADULTO,38,AVIACIÓN,AVIACIÓN,POSTGRADO - MAESTRIA,CASADO,FEMENINO,OTRO,-1,"(46.818188, 8.227512)",1
PANAMA,PAN,C. PANAMA,ADULTO,58,CIENCIAS DE LA SALUD,TERAPIAS,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(8.537981, -80.782127)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,73,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,CASADO,MASCULINO,NINGUNA,165,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. BILBAO,ADULTO,58,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - TÉCNICO PROFESIONAL,UNION_LIBRE,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. CARACAS,ADULTO MAYOR,76,NO INDICA,NO INDICA,PRIMARIA,CASADO,FEMENINO,NINGUNA,155,"(6.42375, -66.58973)",1
CHILE,CHL,C. ANTOFAGASTA,ADULTO JOVEN,23,CIENCIAS DE LA SALUD,ODONTOLOGÍA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(-35.675147, -71.542969)",1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO,50,COCINA Y CULINARIA,COCINA Y CULINARIA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO MAYOR,63,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,POSTGRADO - ESPECIALIZACIÓN,DIVORCIADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. CARACAS,ADULTO MAYOR,60,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,155,"(6.42375, -66.58973)",1
REINO UNIDO,GBR,C. LONDRES,ADULTO,41,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,CASADO,FEMENINO,NINGUNA,160,"(55.378051, -3.435973)",1
ESPAÑA,ESP,C. MADRID,ADULTO,54,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
PANAMA,PAN,C. PANAMA,ADULTO MAYOR,83,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(8.537981, -80.782127)",1
ECUADOR,ECU,C. TULCAN,ADULTO,58,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,OTRO,-1,"(-1.831239, -78.183406)",4
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,34,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,POSTGRADO - MAESTRIA,SOLTERO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. LAS PALMAS DE G.C,ADULTO,29,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(40.463667, -3.74922)",3
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO,40,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA DE PETRÓLEOS,PREGRADO - PROFESIONAL,CASADO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,49,AVIACIÓN,AVIACIÓN,PREGRADO - TECNOLÓGICO,DESCONOCIDO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
CHINA,CHN,C. SHANGHAI,ADULTO,30,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(35.86166, 104.195397)",2
ITALIA,ITA,C. ROMA,ADULTO,41,CIENCIAS DE LA SALUD,ENFERMERÍA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(41.87194, 12.56738)",1
COSTA RICA,CRI,C. SAN JOSE,ADULTO MAYOR,75,NINGUNA,NINGUNA,NO INDICA,VIUDO,FEMENINO,OTRO,-1,"(9.748917, -83.753428)",2
SUECIA,SWE,C. ESTOCOLMO,ADULTO MAYOR,67,CIENCIAS SOCIALES Y HUMANAS,"SOCIOLOGÍA, TRABAJO SOCIAL Y AFINES",NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(60.128161, 18.643501)",1
PANAMA,PAN,C. COLON,ADULTO,45,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(8.537981, -80.782127)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,34,NO INDICA,NO INDICA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,171,"(-38.416097, -63.616672)",1
ECUADOR,ECU,C. QUITO,ADULTO MAYOR,61,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,CASADO,MASCULINO,OTRO,168,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,40,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",2
ECUADOR,ECU,C. TULCAN,ADULTO,34,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,152,"(-1.831239, -78.183406)",1
VENEZUELA,VEN,C. SAN ANT DE TACHIRA,ADULTO MAYOR,86,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(6.42375, -66.58973)",2
CANADA,CAN,C. MONTREAL,ADULTO MAYOR,74,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,"(56.130366, -106.346771)",1
ECUADOR,ECU,C. QUITO,ADULTO,52,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",POSTGRADO - MAESTRIA,CASADO,MASCULINO,OTRO,168,"(-1.831239, -78.183406)",1
PARAGUAY,PRY,C. ASUNCION,ADULTO,32,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(-23.442503, -58.443832)",1
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,28,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,POSTGRADO - MAESTRIA,CASADO,FEMENINO,OTRO,-1,"(52.132633, 5.291266)",1
MEXICO,MEX,C. MEXICO,ADULTO MAYOR,76,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA CIVIL Y AFINES,POSTGRADO - MAESTRIA,CASADO,MASCULINO,NINGUNA,-1,"(23.634501, -102.552784)",1
ECUADOR,ECU,C. QUITO,ADULTO,44,NO INDICA,NO INDICA,BACHILLERATO,CASADO,MASCULINO,SIN ETNIA REGISTRADA,-1,"(-1.831239, -78.183406)",6
VENEZUELA,VEN,C. BARINAS,ADULTO,43,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
SUIZA,CHE,C. BERNA,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,150,"(46.818188, 8.227512)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,48,MATEMÁTICAS Y CIENCIAS NATURALES,"BIOLOGÍA, MICROBIOLOGÍA Y AFINES",PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO,47,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
CHILE,CHL,C. ANTOFAGASTA,ADULTO,55,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,AFRODESCENDIENTE,172,"(-35.675147, -71.542969)",1
ESPAÑA,ESP,C. SEVILLA,ADULTO,57,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,156,"(40.463667, -3.74922)",1
PAISES BAJOS,NLD,C. AMSTERDAM,PRIMERA INFANCIA,1,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,OTRO,-1,"(52.132633, 5.291266)",1
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO,58,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",2
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO,53,MATEMÁTICAS Y CIENCIAS NATURALES,"BIOLOGÍA, MICROBIOLOGÍA Y AFINES",NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO,55,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,162,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,33,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. BARINAS,ADULTO,58,NINGUNA,NINGUNA,BACHILLERATO,DIVORCIADO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO,43,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA CIVIL Y AFINES,PREGRADO - PROFESIONAL,CASADO,MASCULINO,NINGUNA,182,"(37.09024, -95.712891)",1
BRASIL,BRA,C. MANAOS,ADULTO,32,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,MASCULINO,SIN ETNIA REGISTRADA,163,"(-14.235004, -51.92528)",1
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO MAYOR,63,NO INDICA,NO INDICA,POSTGRADO - DOCTORADO,SOLTERO,MASCULINO,OTRO,174,"(6.42375, -66.58973)",1
ECUADOR,ECU,C. QUITO,ADULTO,47,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(-1.831239, -78.183406)",1
ESPAÑA,ESP,C. MADRID,ADULTO,43,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,145,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. EL AMPARO,ADULTO MAYOR,88,NINGUNA,NINGUNA,NINGUNO,VIUDO,FEMENINO,NINGUNA,160,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO MAYOR,62,NINGUNA,NINGUNA,PREGRADO - TECNOLÓGICO,SOLTERO,FEMENINO,NINGUNA,172,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. MADRID,ADULTO,32,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,162,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO MAYOR,60,NINGUNA,NINGUNA,PRIMARIA,CASADO,FEMENINO,INDÍGENA,157,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. SEVILLA,ADULTO,44,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",7
ECUADOR,ECU,C. QUITO,ADULTO,32,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,FEMENINO,SIN ETNIA REGISTRADA,157,"(-1.831239, -78.183406)",1
ESPAÑA,ESP,C. MADRID,ADULTO,30,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,OTRO,166,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,34,CIENCIAS SOCIALES Y HUMANAS,"FILOSOFÍA, TEOLOGÍA Y AFINES",PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
ECUADOR,ECU,C. QUITO,ADULTO,36,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,145,"(-1.831239, -78.183406)",1
VENEZUELA,VEN,C. CARACAS,ADULTO MAYOR,69,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ECUADOR,ECU,C. QUITO,ADULTO MAYOR,80,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(-1.831239, -78.183406)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,29,BELLAS ARTES,PUBLICIDAD Y AFINES,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",1
REINO UNIDO,GBR,C. LONDRES,ADULTO,46,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA MECÁNICA Y AFINES,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(55.378051, -3.435973)",2
SUIZA,CHE,C. BERNA,ADULTO JOVEN,28,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA CIVIL Y AFINES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(46.818188, 8.227512)",1
BRASIL,BRA,C. SAO PAULO,ADULTO JOVEN,22,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,OTRO,-1,"(-14.235004, -51.92528)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO,48,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,170,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. PALMA DE MALLORCA,ADULTO,42,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,OTRO,-1,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO MAYOR,73,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(6.42375, -66.58973)",18
ESPAÑA,ESP,C. BARCELONA,ADULTO,35,CIENCIAS SOCIALES Y HUMANAS,PSICOLOGÍA Y AFINES,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(40.463667, -3.74922)",1
ECUADOR,ECU,C. TULCAN,ADULTO,48,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,OTRO,158,"(-1.831239, -78.183406)",1
ESPAÑA,ESP,C. MADRID,ADULTO MAYOR,65,NINGUNA,NINGUNA,PRIMARIA,CASADO,FEMENINO,OTRO,159,"(40.463667, -3.74922)",1
COSTA RICA,CRI,C. SAN JOSE,INFANTE,6,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(9.748917, -83.753428)",2
ESPAÑA,ESP,C. BILBAO,ADULTO,46,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,MASCULINO,OTRO,-1,"(40.463667, -3.74922)",6
ESPAÑA,ESP,C. BARCELONA,ADULTO,37,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. MADRID,ADULTO,35,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,NINGUNA,174,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO MAYOR,70,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,UNION_LIBRE,MASCULINO,OTRO,168,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. MARACAIBO,INFANTE,8,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,160,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. MADRID,ADULTO MAYOR,60,NO INDICA,NO INDICA,POSTGRADO - ESPECIALIZACIÓN,SOLTERO,FEMENINO,OTRO,167,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,32,CIENCIAS DE LA SALUD,SALUD PÚBLICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
MEXICO,MEX,C. GUADALAJARA,ADULTO JOVEN,25,CIENCIAS SOCIALES Y HUMANAS,"PERIODISMO, COMUNICACIÓN SOCIAL Y AFINES",NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(23.634501, -102.552784)",1
ESPAÑA,ESP,C. MADRID,PRIMERA INFANCIA,1,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",2
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO,32,COCINA Y CULINARIA,COCINA Y CULINARIA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. VALENCIA ESP,ADULTO,36,CIENCIAS SOCIALES Y HUMANAS,GEOGRAFÍA O HISTORIA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. VALENCIA ESP,ADULTO,58,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,DIVORCIADO,MASCULINO,OTRO,-1,"(40.463667, -3.74922)",1
CANADA,CAN,C. OTTAWA,ADULTO,42,NO INDICA,NO INDICA,POSTGRADO - ESPECIALIZACIÓN,SOLTERO,MASCULINO,NINGUNA,180,"(56.130366, -106.346771)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,38,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA BIOMÉDICA Y AFINES,NO INDICA,UNION_LIBRE,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,39,CIENCIAS DE LA SALUD,SALUD PÚBLICA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ITALIA,ITA,C. MILAN,ADULTO,43,CIENCIAS DE LA SALUD,ENFERMERÍA,PREGRADO - TÉCNICO PROFESIONAL,CASADO,FEMENINO,NINGUNA,155,"(41.87194, 12.56738)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,65,"INGENIERÍA, ARQUITECTURA Y AFINES",ARQUITECTURA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,181,"(37.09024, -95.712891)",1
FRANCIA,FRA,C. PARIS,ADULTO MAYOR,65,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,152,"(46.227638, 2.213749)",2
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO,59,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
CANADA,CAN,C. CALGARY,ADULTO,38,"INGENIERÍA, ARQUITECTURA Y AFINES",OTRAS INGENIERÍAS,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(56.130366, -106.346771)",1
PANAMA,PAN,C. COLON,ADULTO MAYOR,64,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,180,"(8.537981, -80.782127)",1
VENEZUELA,VEN,C. EL AMPARO,ADULTO,35,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
PANAMA,PAN,C. PANAMA,ADULTO,45,BELLAS ARTES,DISEÑO,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(8.537981, -80.782127)",2
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,40,CIENCIAS DE LA SALUD,SALUD OCUPACIONAL (HSEQ),NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. CARACAS,ADULTO MAYOR,61,NO INDICA,NO INDICA,PRIMARIA,CASADO,FEMENINO,NINGUNA,162,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,36,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,154,"(6.42375, -66.58973)",1
REINO UNIDO,GBR,C. LONDRES,ADULTO,40,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(55.378051, -3.435973)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,53,NO INDICA,NO INDICA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,172,"(37.09024, -95.712891)",1
REINO UNIDO,GBR,C. LONDRES,ADULTO,55,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,SOLTERO,MASCULINO,NINGUNA,168,"(55.378051, -3.435973)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO MAYOR,64,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,NINGUNA,168,"(37.09024, -95.712891)",1
BRASIL,BRA,C. MANAOS,ADULTO MAYOR,69,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA MECÁNICA Y AFINES,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(-14.235004, -51.92528)",1
CHILE,CHL,C. SANTIAGO,ADULTO,48,"AGRONOMÍA, VETERINARIA Y AFINES",ZOOTECNIA,NO INDICA,UNION_LIBRE,MASCULINO,NINGUNA,-1,"(-35.675147, -71.542969)",1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO MAYOR,79,NINGUNA,NINGUNA,PRIMARIA,CASADO,MASCULINO,NINGUNA,168,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO MAYOR,66,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,160,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. MADRID,ADULTO,43,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,OTRO,159,"(40.463667, -3.74922)",2
CANADA,CAN,C. MONTREAL,ADULTO,41,BELLAS ARTES,ARTES DRAMÁTICAS Y REPRESENTATIVAS,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(56.130366, -106.346771)",1
ESPAÑA,ESP,C. LAS PALMAS DE G.C,ADULTO,48,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,150,"(40.463667, -3.74922)",1
SUIZA,CHE,C. BERNA,ADULTO MAYOR,66,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(46.818188, 8.227512)",1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO,52,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,"(-1.831239, -78.183406)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,31,CIENCIAS SOCIALES Y HUMANAS,"PERIODISMO, COMUNICACIÓN SOCIAL Y AFINES",POSTGRADO - MAESTRIA,SOLTERO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,49,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,POSTGRADO - ESPECIALIZACIÓN,CASADO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,37,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,OTRO,165,"(-38.416097, -63.616672)",1
PERU,PER,C. IQUITOS,ADULTO,34,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,UNION_LIBRE,FEMENINO,OTRO,-1,"(-9.189967, -75.015152)",1
ESPAÑA,ESP,C. MADRID,ADULTO MAYOR,65,"AGRONOMÍA, VETERINARIA Y AFINES",AGRONOMÍA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. MADRID,ADULTO,43,"INGENIERÍA, ARQUITECTURA Y AFINES",ARQUITECTURA,POSTGRADO - MAESTRIA,SOLTERO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,48,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,57,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,CASADO,FEMENINO,NINGUNA,158,"(37.09024, -95.712891)",1
